Query_ID,Tipo,K,Tempo_ms,Paginas_Lidas,Recall,Resultados_Encontrados
0,kNN,5,42.4808,3771,1,5
1,kNN,5,24.2178,2123,1,5
2,kNN,5,42.7609,3756,1,5
3,kNN,5,40.2073,3502,1,5
4,kNN,5,8.34807,712,1,5
5,kNN,5,14.5915,1254,1,5
6,kNN,5,28.6562,2502,1,5
7,kNN,5,24.6712,2151,1,5
8,kNN,5,20.9508,1800,1,5
9,kNN,5,7.05863,603,1,5
10,kNN,5,22.8814,2013,1,5
11,kNN,5,34.7631,3075,1,5
12,kNN,5,32.7647,2888,1,5
13,kNN,5,40.6983,3594,1,5
14,kNN,5,1.1213,89,1,5
15,kNN,5,36.7343,3237,1,5
16,kNN,5,14.6345,1267,1,5
17,kNN,5,40.9983,3611,1,5
18,kNN,5,23.8747,2102,1,5
19,kNN,5,31.682,2788,1,5
20,kNN,5,35.8286,3154,1,5
21,kNN,5,39.0867,3451,1,5
22,kNN,5,16.7389,1374,1,5
23,kNN,5,17.0004,1477,1,5
24,kNN,5,28.6626,2514,1,5
25,kNN,5,34.6196,3080,1,5
26,kNN,5,57.1989,3827,1,5
27,kNN,5,41.7151,3659,1,5
28,kNN,5,33.6842,2975,1,5
29,kNN,5,20.467,1766,1,5
30,kNN,5,23.8417,2089,1,5
31,kNN,5,32.4286,2865,1,5
32,kNN,5,19.1714,1659,1,5
33,kNN,5,15.9853,1390,1,5
34,kNN,5,27.9244,2448,1,5
35,kNN,5,28.7621,2542,1,5
36,kNN,5,16.967,1474,1,5
37,kNN,5,37.7574,3306,1,5
38,kNN,5,39.9175,3474,1,5
39,kNN,5,24.0476,2082,1,5
40,kNN,5,15.5399,1346,1,5
41,kNN,5,39.5966,3492,1,5
42,kNN,5,18.7122,1633,1,5
43,kNN,5,21.0693,1835,1,5
44,kNN,5,21.3049,1857,1,5
45,kNN,5,14.9236,1283,1,5
46,kNN,5,40.2493,3538,1,5
47,kNN,5,26.6653,2335,1,5
48,kNN,5,33.5669,2951,1,5
49,kNN,5,34.1009,3000,1,5
50,kNN,5,37.9233,3337,1,5
51,kNN,5,40.1244,3560,1,5
52,kNN,5,26.3593,2307,1,5
53,kNN,5,7.37555,623,1,5
54,kNN,5,34.0988,2979,1,5
55,kNN,5,29.4817,2567,1,5
56,kNN,5,27.9253,2433,1,5
57,kNN,5,37.4022,3254,1,5
58,kNN,5,34.6712,3050,1,5
59,kNN,5,14.697,1278,1,5
60,kNN,5,20.8084,1812,1,5
61,kNN,5,27.6603,2423,1,5
62,kNN,5,12.0182,1038,1,5
63,kNN,5,32.4734,2832,1,5
64,kNN,5,23.4614,2041,1,5
65,kNN,5,19.5843,1724,1,5
66,kNN,5,21.6947,1885,1,5
67,kNN,5,27.9444,2445,1,5
68,kNN,5,27.3719,2391,1,5
69,kNN,5,29.3638,2581,1,5
70,kNN,5,42.642,3763,1,5
71,kNN,5,22.9975,1993,1,5
72,kNN,5,43.0097,3788,1,5
73,kNN,5,34.4986,3039,1,5
74,kNN,5,40.3929,3566,1,5
75,kNN,5,24.9402,2175,1,5
76,kNN,5,40.7225,3556,1,5
77,kNN,5,25.287,2210,1,5
78,kNN,5,32.3924,2850,1,5
79,kNN,5,40.8076,3607,1,5
80,kNN,5,28.1022,2439,1,5
81,kNN,5,28.5216,2482,1,5
82,kNN,5,14.3912,1225,1,5
83,kNN,5,36.2333,3173,1,5
84,kNN,5,28.4345,2496,1,5
85,kNN,5,43.0754,3788,1,5
86,kNN,5,3.71082,306,1,5
87,kNN,5,23.9028,2076,1,5
88,kNN,5,17.2826,1497,1,5
89,kNN,5,30.7643,2658,1,5
90,kNN,5,39.9883,3523,1,5
91,kNN,5,18.1275,1574,1,5
92,kNN,5,32.3779,2815,1,5
93,kNN,5,37.0422,3265,1,5
94,kNN,5,6.35524,543,1,5
95,kNN,5,30.0097,2622,1,5
96,kNN,5,38.6917,3408,1,5
97,kNN,5,30.9718,2716,1,5
98,kNN,5,41.8329,3696,1,5
99,kNN,5,22.1014,1925,1,5
0,Range,0.1,12.006,1031,1,47953
1,Range,0.1,16.101,1389,0.999642,64178
2,Range,0.1,39.465,3480,1,158176
3,Range,0.1,35.768,3131,1,137115
4,Range,0.1,25.194,2206,1,74022
5,Range,0.1,33.114,2890,1,136745
6,Range,0.1,13.769,1209,1,38084
7,Range,0.1,15.174,1326,1,36892
8,Range,0.1,18.467,1597,1,57508
9,Range,0.1,31.426,2743,1,128093
10,Range,0.1,7.323,625,1,30560
11,Range,0.1,31.65,2789,1,87121
12,Range,0.1,39.818,3491,1,162068
13,Range,0.1,13.796,1192,0.999622,60884
14,Range,0.1,40.817,3580,1,163054
15,Range,0.1,13.622,1179,0.999585,55437
16,Range,0.1,15.61,1336,0.999616,59823
17,Range,0.1,43.451,3571,1,150715
18,Range,0.1,25.516,2212,1,100582
19,Range,0.1,41.716,3654,1,170091
20,Range,0.1,38.454,3394,1,162087
21,Range,0.1,15.031,1304,1,54110
22,Range,0.1,25.199,2209,1,88109
23,Range,0.1,14.589,1295,1,53108
24,Range,0.1,12.543,1116,1,49794
25,Range,0.1,31.149,2779,1,135411
26,Range,0.1,15.051,1350,0.999656,66752
27,Range,0.1,10.165,892,1,47194
28,Range,0.1,20.862,1863,0.999751,92369
29,Range,0.1,31.33,2830,1,133576
30,Range,0.1,32.37,2920,1,143212
31,Range,0.1,22.09,1995,1,79561
32,Range,0.1,25.438,2240,1,59187
33,Range,0.1,33.554,2964,1,140511
34,Range,0.1,17.392,1556,0.999684,72696
35,Range,0.1,23.989,2164,1,90288
36,Range,0.1,36.593,3286,1,127056
37,Range,0.1,15.372,1364,1,54198
38,Range,0.1,28.402,2529,1,123224
39,Range,0.1,38.35,3409,1,172431
40,Range,0.1,37.818,3342,1,164052
41,Range,0.1,36.921,3300,1,165631
42,Range,0.1,33.559,3005,1,147816
43,Range,0.1,38.612,3481,1,176568
44,Range,0.1,37.802,3387,1,159795
45,Range,0.1,29.842,2519,1,80273
46,Range,0.1,33.508,2921,1,127064
47,Range,0.1,9.569,802,1,25233
48,Range,0.1,36.163,3073,1,149031
49,Range,0.1,14.749,1304,0.99964,63832
50,Range,0.1,28.867,2583,1,124977
51,Range,0.1,43.277,3923,1,174366
52,Range,0.1,30.374,2727,1,134004
53,Range,0.1,26.327,2363,1,106380
54,Range,0.1,39.152,3518,1,174983
55,Range,0.1,21.114,1882,0.999752,88764
56,Range,0.1,13.905,1234,1,51358
57,Range,0.1,11.513,1020,1,50957
58,Range,0.1,21.237,1782,1,84520
59,Range,0.1,40.048,3615,1,164507
60,Range,0.1,13.365,1192,0.999895,57024
61,Range,0.1,31.482,2835,1,101792
62,Range,0.1,38.919,3513,1,156518
63,Range,0.1,7.386,647,1,31744
64,Range,0.1,37.237,3351,1,147234
65,Range,0.1,31.271,2798,1,137554
66,Range,0.1,29.62,2672,1,124813
67,Range,0.1,27.161,2456,1,114367
68,Range,0.1,29.288,2642,1,83601
69,Range,0.1,13.499,1210,1,50954
70,Range,0.1,8.334,738,1,39959
71,Range,0.1,25.563,2276,1,94950
72,Range,0.1,30.58,2706,1,127710
73,Range,0.1,37.258,3280,1,133396
74,Range,0.1,25.526,2236,1,83365
75,Range,0.1,19.343,1671,0.999704,77556
76,Range,0.1,16.958,1476,0.999608,58677
77,Range,0.1,19.825,1719,0.999707,78574
78,Range,0.1,16.643,1439,0.999651,65843
79,Range,0.1,41.918,3672,1,166882
80,Range,0.1,26.047,2270,0.999989,89887
81,Range,0.1,22.011,1901,0.999734,86285
82,Range,0.1,31.016,2723,1,97589
83,Range,0.1,14.224,1223,1,56025
84,Range,0.1,16.969,1456,0.999671,69873
85,Range,0.1,32.79,2877,1,123704
86,Range,0.1,28.117,2459,1,110247
87,Range,0.1,23.043,2000,1,98131
88,Range,0.1,7.713,658,1,30151
89,Range,0.1,28.098,2408,1,114551
90,Range,0.1,3.792,315,1,10037
91,Range,0.1,9.623,811,1,41055
92,Range,0.1,20.065,1761,1,51706
93,Range,0.1,7.307,620,1,25812
94,Range,0.1,17.97,1573,1,39920
95,Range,0.1,25.087,2192,1,66732
96,Range,0.1,13.684,1181,0.999618,60186
97,Range,0.1,39.161,3410,1,152498
98,Range,0.1,45.444,3976,1,183117
99,Range,0.1,36.26,3142,1,141977
